2019-02-15T17:56 | Book
2019-02-15T21:10 | None
2019-02-16T08:54 | None
2019-02-16T10:14 | None
2019-02-16T21:43 | None
2019-02-17T10:24 | None
2019-02-17T13:00 | None
2019-02-18T09:52 | None
2019-02-19T00:29 | None
2019-02-19T10:54 | None
2019-02-20T01:00 | None
2019-02-20T08:00 | Food
2019-02-21T01:00 | None
2019-02-21T08:39 | InnerBox
2019-02-22T00:50 | None
2019-02-22T10:00 | None
2019-02-23T11:15 | InnerBox
2019-02-24T01:00 | None
2019-02-24T11:20 | Food
2019-03-29T10:30 | Book
2019-03-29T23:00 | None
2019-03-30T09:30 | None
2019-03-30T23:30 | None
2019-03-31T10:00 | Food
2019-03-31T11:00 | None
2019-03-31T23:00 | None
2019-04-01T09:30 | Food
2019-04-02T00:30 | None
2019-04-02T04:00 | None
2019-04-02T09:30 | Food
2019-05-01T12:37 | InnerBox | 1
2019-05-01T17:55 | Book | 1
2019-05-02T11:20 | Food | 1
2019-05-03T09:20 | None | -1
2019-05-03T10:39 | Food | -1
2019-05-02T09:27 | None | -1
2019-05-05T11:22 | Food | 1
2019-05-17T10:39 | Book | 1
2019-05-17T18:30 | None | -1
2019-05-18T01:51 | Rain | 1
2019-05-18T01:52 | None | -1
2019-05-19T04:55 | Food | 1
2019-05-19T13:00 | None | -1
2019-05-20T01:26 | None | 1
2019-05-20T10:18 | Food | 1
2019-05-21T10:06 | FrontField | -1
2019-05-22T10:00 | None | -1
2019-05-23T10:39 | None | 1
2019-05-24T10:40 | Food | -1
2019-05-25T11:23 | Book | 1
2019-06-12T15:24 | InnerBox | 1
2019-06-12T17:24 | None | -1
2019-06-13T01:02 | None | 1
2019-06-13T10:00 | None | -1
2019-06-14T09:40 | None | -1
2019-06-14T11:56 | None | 1
2019-06-14T14:00 | None | 1
2019-06-15T10:30 | None | -1
2019-06-15T12:08 | None | -1
2019-06-16T09:44 | Food | -1
2019-07-06T19:45 | Book | 1
2019-07-07T09:45 | Book | 1
2019-07-07T22:30 | None | 1
2019-07-08T10:15 | Book | 1
2019-07-08T18:22 | None | -1
2019-07-09T13:56 | Food | 1
2019-07-10T12:10 | Food | 1
2019-07-11T11:51 | None | 1
2019-07-12T12:42 | Food | 1
2019-07-13T02:22 | None | -1
2019-07-13T11:30 | None | 1
2019-07-13T13:55 | Food | -1
2019-07-15T01:11 | None | -1
2019-07-15T14:51 | Food | -1
2019-07-16T18:00 | Food | 1
2019-07-19T02:03 | None | 1
2019-07-19T13:04 | Food | -1
2019-07-21T11:27 | None | -1
2019-07-21T15:33 | Food | 1
2019-07-22T11:30 | None | -1
2019-07-23T14:45 | Food | 1
2019-07-24T15:00 | None | 1
2019-07-26T01:42 | None | -1
2019-07-27T11:01 | Book | -1
2019-07-30T12:15 | Food | 1
2019-08-19T02:00 | Food | 1
2019-08-19T18:27 | Food | 1
2019-08-21T17:00 | Food | 1
2019-08-22T17:40 | Food | 1
2019-08-26T18:36 | None | 1
2019-08-27T08:35 | Food | 1
2019-08-30T23:01 | None | 1
2019-08-31T02:33 | Food | -1
2019-08-31T10:54 | None | -1
2019-08-31T15:11 | None | 1
2019-09-01T10:44 | None | -1
2019-09-22T05:15 | InnerBox | -1
2019-09-22T13:05 | Food | 2
2019-09-23T23:22 | Book | 1
2019-09-25T23:28 | None | 1
2019-09-26T00:10 | InnerBox | -1
2019-09-28T01:17 | None | 1
2019-09-28T10:32 | Food | -1
2019-09-30T09:50 | Food | 1
2019-10-03T00:17 | Food | 1
2019-10-04T09:46 | InnerBox | -1
2019-10-06T14:45 | Food | -1
2019-10-10T01:51 | None | 1
2019-10-10T09:20 | Food | -1
2019-10-12T15:15 | Food | 1
2019-11-10T01:30 | Book | 1
2019-11-10T10:30 | Food | 2
2019-11-11T12:06 | Food | 1
2019-11-13T09:30 | OO | -1
2019-12-06T21:50 | Book | 1
2019-12-07T09:34 | Food | 1
2019-12-07T18:35 | None | 1
2019-12-08T09:15 | Food | -1
2019-12-26T07:36 | InnerBox | 1
2019-12-28T19:30 | Food | -1
2019-12-28T22:00 | None | -1
2019-12-29T17:45 | Food | -1
2019-12-30T12:30 | None | 1
2020-01-01T18:50 | Food | 1
2020-01-03T12:00 | None | -1
2020-01-04T19:30 | InnerBox | 1
2020-01-25T10:18 | Book | -1
2020-01-26T10:13 | Food | 1
2020-01-28T23:45 | InnerBox | 1
2020-01-30T09:56 | Food | -1
2020-02-02T10:15 | Book | -1
2020-02-04T00:15 | None | 1
2020-02-04T09:40 | Food | -1
2020-02-07T09:08 | None | 1
2020-02-08T09:13 | None | -1
2020-02-09T10:30 | Food | -1
2020-02-12T09:30 | InnerBox | -1
2020-02-14T09:44 | Food | 1
2020-02-16T10:56 | Food | 1
2020-02-19T09:28 | None | -1
2020-02-20T09:15 | InnerBox | 1
2020-03-07T03:00 | InnerBox | 1
2020-03-07T11:06 | None | 1
2020-03-07T11:31 | Food | -1
2020-03-08T18:04 | Food | 1
2020-07-05T10:29 | Book | 1
2020-07-05T15:32 | None | 1
2020-07-05T18:31 | Food | 1
2020-07-06T17:30 | InnerBox | 1
2020-07-11T10:28 | Food | 1
2020-07-12T11:14 | None | -1
2020-07-14T10:23 | None | 1
2020-07-15T00:45 | Food | -1
2020-07-16T10:22 | None | 1
2020-10-21T00:01 | Book | 1
2020-10-24T09:37 | Food | 1
2020-10-26T09:46 | Food | 1
2020-10-28T09:51 | Food | 1
2020-10-30T19:07 | Food | -1
2020-11-10T14:08 | OO | -1
2020-11-11T09:20 | Food | 1
2020-11-12T09:22 | Food | -1
2020-11-18T12:34 | OO | -1
2020-11-22T10:15 | Book | -1
2020-11-25T22:00 | Food | 1
2020-11-28T11:16 | Food | 1
2020-12-02T23:37 | Food | 1
2020-12-06T18:00 | Food | -1
2020-12-10T11:22 | Food | 1
2020-12-15T10:00 | Food | -1
2020-12-16T22:44 | OO | 1
2020-12-18T10:30 | Food | 1
2020-12-25T11:00 | Book | 1
2020-12-27T17:44 | Food | 1
2020-12-31T11:00 | OO | 1
2021-01-09T09:50 | OO | 1
2021-01-14T11:32 | OO | 1
2021-01-18T11:00 | Food | 1
2021-01-21T11:13 | Food | 1
2021-01-25T00:45 | FrontField | 1
2021-02-02T19:48 | FrontField | 1
2021-02-04T10:10 | Food | -1
2021-02-09T09:05 | Food | 1
2021-02-11T09:23 | Food | 1
2021-05-09T19:00 | FrontField | 1
2021-05-11T16:28 | Food | 1
2021-05-13T09:00 | FrontField | -1
2021-05-16T09:09 | None | -1
2021-05-17T08:27 | Food | 1
2021-05-20T09:30 | Food | 1
2021-05-24T09:41 | Food | 1
2021-05-26T08:45 | Food | 1
2021-05-30T09:59 | Food | 1
2021-07-06T00:40 | Food | 1
2021-07-10T09:45 | Food | 1
2021-07-16T23:57 | InnerBox | 1
2021-07-20T09:17 | InnerBox | 1
2021-07-23T09:15 | Food | 1
2021-07-26T10:30 | Food | 1
2021-07-28T19:00 | InnerBox | 1
2021-08-06T20:00 | Food | 1
2021-08-08T11:20 | Food | 1
2021-08-28T23:32 | Food | -1
2021-09-01T23:38 | Food | -1
2021-09-05T04:18 | OO | 1
2021-09-10T23:18 | Food | 1
2021-09-16T08:30 | Food | -1
2021-09-22T15:27 | Food | 1
2021-09-24T18:30 | Food | 1
2021-10-06T00:42 | Food | -1
2021-10-08T23:00 | BackField | 1
2021-10-12T08:48 | Food | 1
2021-10-16T10:21 | Food | -1
2021-10-20T08:45 | Food | 1
2021-11-04T00:40 | Food | -1
2021-11-06T10:51 | Food | -1
2021-11-11T08:30 | Book | -1
2021-11-14T20:45 | Food | -1
2021-11-18T00:28 | Food | 1
2021-11-30T21:10 | OO | -1
2021-12-06T08:30 | InnerBox | -1
2021-12-07T09:00 | Food | 1
2021-12-11T09:43 | Food | 1
2021-12-18T09:30 | Food | -1
2021-12-21T08:37 | InnerBox | -1
2021-12-26T10:46 | Food | 1
